mmsi,imo,collectionType,timestamp,latitude,longitude,name,shipType
0,0.0,SATELLITE,2023-02-12T12:39:47.000Z,-4.54144833,-90.59219667,,
413844548,,TERRESTRIAL,2023-02-12T14:02:27.000Z,32.01953333,120.38094833,,
230100179,,TERRESTRIAL,2023-02-12T14:01:00.000Z,32.12590167,118.70820667,,
273326000,8628133.0,TERRESTRIAL,2023-02-12T14:01:54.864Z,54.6915,7.412645,,
4121026,,TERRESTRIAL,2023-02-12T14:01:59.000Z,32.22864667,121.56351833,,
371039000,9108427.0,TERRESTRIAL,2023-02-12T14:02:05.000Z,40.3688,27.97362833,,
413801867,,TERRESTRIAL,2023-02-12T14:02:24.000Z,32.43649,121.30304833,,
232002653,8807600.0,TERRESTRIAL,2023-02-12T14:02:06.067Z,57.27905667,-5.708205,,
244700723,0.0,TERRESTRIAL,2023-02-12T14:02:26.331Z,53.020965,5.68887333,,
261186413,7407817.0,TERRESTRIAL,2023-02-12T14:02:27.598Z,53.45177,14.58791167,,
503194500,9366885.0,TERRESTRIAL,2023-02-12T14:02:17.690Z,-27.40153333,153.15586667,,
413869315,0.0,TERRESTRIAL,2023-02-12T14:02:21.000Z,27.811675,112.886225,,
412332024,,TERRESTRIAL,2023-02-12T14:02:22.000Z,35.45653167,119.598095,,
512000513,,TERRESTRIAL,2023-02-12T14:01:54.735Z,-41.26236333,173.28105333,,
413770301,0.0,TERRESTRIAL,2023-02-12T14:00:03.000Z,32.18703,119.59075667,,
235004140,8410067.0,TERRESTRIAL,2023-02-12T14:01:58.391Z,50.72702667,1.15362833,,
368168920,,TERRESTRIAL,2023-02-12T14:01:56.987Z,25.70367,-80.25247167,,
403702410,8767757.0,TERRESTRIAL,2023-02-12T14:02:01.533Z,27.263205,49.75995,,
413792577,0.0,TERRESTRIAL,2023-02-12T14:02:00.000Z,30.18843833,115.22936,,
413376690,9130999.0,DYNAMIC,2023-02-12T13:50:44.000Z,30.92905833,122.432655,,
413866433,,TERRESTRIAL,2023-02-12T14:01:56.000Z,31.26261167,121.5476,,
352001309,,TERRESTRIAL,2023-02-12T14:02:24.000Z,34.66699167,33.04151,,
572964210,9761657.0,DYNAMIC,2023-02-12T13:53:53.000Z,28.15157667,49.98831667,,
413762344,0.0,TERRESTRIAL,2023-02-12T14:02:15.000Z,22.46227333,113.88746667,,
431004453,,TERRESTRIAL,2023-02-12T14:02:04.675Z,34.36520167,135.005165,,
413788052,,TERRESTRIAL,2023-02-12T14:02:07.000Z,28.80325167,105.84567667,,
203999391,0.0,TERRESTRIAL,2023-02-12T14:02:18.395Z,48.20776833,16.43304667,,
245247000,8432675.0,TERRESTRIAL,2023-02-12T14:02:10.000Z,51.82579833,4.03232667,,
413829622,0.0,TERRESTRIAL,2023-02-12T13:58:00.000Z,31.469725,118.30515833,,
273425000,8729286.0,TERRESTRIAL,2023-02-12T14:02:01.704Z,68.956155,33.03094333,,
412464210,0.0,DYNAMIC,2023-02-12T13:51:06.000Z,22.56869833,114.25150833,,
636017514,9426817.0,TERRESTRIAL,2023-02-12T14:02:21.000Z,51.29656167,4.26232333,,
244650957,0.0,TERRESTRIAL,2023-02-12T14:02:19.384Z,51.23630167,4.50719833,,
247383600,9859569.0,TERRESTRIAL,2023-02-12T14:02:15.590Z,44.31148167,8.49784333,,
636019544,9878826.0,DYNAMIC,2023-02-12T14:01:57.000Z,35.16216333,129.90851833,,
211152520,0.0,TERRESTRIAL,2023-02-12T14:02:03.000Z,54.47254167,9.03765833,,
250005259,,TERRESTRIAL,2023-02-12T14:00:28.130Z,51.68971667,-8.50662333,,
413865878,0.0,TERRESTRIAL,2023-02-12T14:00:32.000Z,29.60623333,106.62405333,,
413805902,0.0,TERRESTRIAL,2023-02-12T14:00:02.000Z,32.19064833,119.59394,,
413865923,0.0,TERRESTRIAL,2023-02-12T14:02:23.000Z,30.27712333,111.59263333,,
232017782,,TERRESTRIAL,2023-02-12T14:02:22.000Z,50.89566167,-1.39160833,,
341294000,9136929.0,DYNAMIC,2023-02-12T13:49:38.000Z,44.80401167,36.64746667,,
413987168,,TERRESTRIAL,2023-02-12T14:02:10.000Z,30.00827667,120.64068667,,
259424000,9383754.0,TERRESTRIAL,2023-02-12T14:02:08.403Z,53.19151333,5.43685667,,
352001658,8531691.0,TERRESTRIAL,2023-02-12T14:01:54.627Z,43.10658167,131.899305,,
431200143,9154024.0,DYNAMIC,2023-02-12T14:01:02.000Z,35.59491667,140.1061,,
466542650,503163.0,DYNAMIC,2023-02-12T13:51:37.000Z,24.93961833,51.58289167,,
577573000,8402656.0,TERRESTRIAL,2023-02-12T14:02:06.000Z,40.88228,29.19250667,,
414790000,9790799.0,DYNAMIC,2023-02-12T13:50:42.000Z,21.05294333,109.042025,,
238154940,,TERRESTRIAL,2023-02-12T14:02:31.000Z,43.54487167,16.40174667,,
413984028,0.0,TERRESTRIAL,2023-02-12T14:01:57.000Z,31.47331833,118.30830167,,
431003489,9658537.0,TERRESTRIAL,2023-02-12T14:02:05.000Z,34.46446667,133.72813333,,
368145870,0.0,TERRESTRIAL,2023-02-12T14:02:07.000Z,30.02167333,-93.98695833,,
367478310,,TERRESTRIAL,2023-02-12T14:02:00.000Z,24.217645,-110.30398667,,
701089000,7045580.0,TERRESTRIAL,2023-02-12T14:02:21.638Z,-34.63167667,-58.35320667,,
244216000,9174567.0,TERRESTRIAL,2023-02-12T14:02:30.000Z,51.90346667,4.35333333,,
377476000,9768174.0,TERRESTRIAL,2023-02-12T14:02:33.083Z,37.73527833,-25.669485,,
258155500,0.0,DYNAMIC,2023-02-12T14:00:03.000Z,59.13898,6.02949,,
636022566,9614880.0,DYNAMIC,2023-02-12T13:49:25.000Z,-23.56654167,-43.16976833,,
271019015,,TERRESTRIAL,2023-02-12T14:01:51.000Z,36.78762167,34.64526,,
257003970,9802607.0,DYNAMIC,2023-02-12T14:02:01.000Z,62.51457,6.19893333,,
244630225,,TERRESTRIAL,2023-02-12T14:00:06.000Z,52.3017,5.30239833,,
431010478,9810161.0,TERRESTRIAL,2023-02-12T14:02:11.000Z,35.48401,139.81507,,
203999421,0.0,TERRESTRIAL,2023-02-12T14:01:50.000Z,48.31222,14.28938833,,
413409050,0.0,TERRESTRIAL,2023-02-12T14:02:21.000Z,30.41073,122.38486667,,
601936000,,TERRESTRIAL,2023-02-12T14:01:53.000Z,-33.96647833,25.63532,,
225995637,,TERRESTRIAL,2023-02-12T14:02:04.000Z,36.61881,-6.35568333,,
413809501,0.0,TERRESTRIAL,2023-02-12T14:00:29.000Z,30.33263833,115.08684167,,
533035000,9030826.0,DYNAMIC,2023-02-12T13:57:35.000Z,33.70618833,138.905755,,
370758000,9419620.0,TERRESTRIAL,2023-02-12T14:02:10.000Z,1.29729667,104.06314667,,
312630000,9646170.0,DYNAMIC,2023-02-12T13:56:51.000Z,24.97314167,54.23790167,,
636092375,9462471.0,DYNAMIC,2023-02-12T13:54:57.000Z,26.4426,34.95047667,,
257079380,0.0,TERRESTRIAL,2023-02-12T14:02:22.166Z,64.50525333,10.83913833,,
273331440,9645982.0,DYNAMIC,2023-02-12T13:54:20.000Z,44.86898833,36.64065167,,
211668470,0.0,TERRESTRIAL,2023-02-12T14:02:21.138Z,51.93884167,4.168625,,
227550150,,TERRESTRIAL,2023-02-12T14:02:15.725Z,47.73807833,-3.34142667,,
341476000,8202850.0,DYNAMIC,2023-02-12T14:00:46.000Z,24.48416,54.247455,,
636020117,9364801.0,DYNAMIC,2023-02-12T13:59:16.000Z,25.90058333,35.14316667,,
265565690,9392286.0,TERRESTRIAL,2023-02-12T14:01:59.162Z,57.26231,16.47039,,
413826594,0.0,TERRESTRIAL,2023-02-12T14:00:09.000Z,31.338735,118.345845,,
412420096,,DYNAMIC,2023-02-12T13:56:34.000Z,31.08412167,123.226775,,
367021980,,TERRESTRIAL,2023-02-12T14:02:32.000Z,35.06497167,-76.968645,,
477995780,0.0,DYNAMIC,2023-02-12T14:01:04.000Z,36.44021,126.49282667,,
431013507,0.0,DYNAMIC,2023-02-12T14:00:31.000Z,35.62355,139.79331667,,
413441860,0.0,TERRESTRIAL,2023-02-12T14:02:04.000Z,38.88818333,118.39704,,
368146120,,TERRESTRIAL,2023-02-12T14:02:16.055Z,48.49139167,-122.68055333,,
226000020,0.0,TERRESTRIAL,2023-02-12T14:02:12.688Z,51.01029,3.74372667,,
671747000,8631661.0,TERRESTRIAL,2023-02-12T14:01:58.939Z,22.61294333,120.24734167,,
257074900,,TERRESTRIAL,2023-02-12T14:02:08.363Z,58.45439167,5.98156333,,
370064000,9393187.0,TERRESTRIAL,2023-02-12T14:02:16.000Z,51.91555,2.91421667,,
477198000,9144354.0,TERRESTRIAL,2023-02-12T14:02:11.540Z,51.46462,3.69648833,,
316001380,9744506.0,TERRESTRIAL,2023-02-12T14:02:09.974Z,47.56267333,-52.6982,,
257060850,0.0,TERRESTRIAL,2023-02-12T14:02:17.139Z,66.80166833,13.23416167,,
413771202,,TERRESTRIAL,2023-02-12T14:02:09.000Z,29.88196667,115.43623333,,
368220660,0.0,TERRESTRIAL,2023-02-12T14:01:54.000Z,8.91236,-79.52064833,,
567069800,9479761.0,DYNAMIC,2023-02-12T13:56:39.000Z,2.25218333,104.29053333,,
271048138,,TERRESTRIAL,2023-02-12T14:02:10.000Z,40.79309833,29.33030333,,
412443948,,TERRESTRIAL,2023-02-12T14:02:01.000Z,28.140945,121.33743167,,
440002530,0.0,DYNAMIC,2023-02-12T13:59:00.000Z,37.45011167,126.59594,,
244710873,0.0,TERRESTRIAL,2023-02-12T14:02:00.615Z,51.69559833,4.60989333,,
242101100,0.0,TERRESTRIAL,2023-02-12T14:02:24.008Z,33.73977833,-8.55191167,,
422596000,9096325.0,DYNAMIC,2023-02-12T14:00:18.000Z,26.56713333,53.99996667,,
413999611,0.0,TERRESTRIAL,2023-02-12T14:02:32.000Z,30.850345,120.11395,,
368615000,9517795.0,DYNAMIC,2023-02-12T13:53:38.000Z,28.18178167,-89.32816,,
230938610,8634326.0,TERRESTRIAL,2023-02-12T14:01:58.029Z,60.443395,22.25162167,,
244670089,0.0,TERRESTRIAL,2023-02-12T14:02:34.066Z,51.22005333,6.74589833,,
314257000,9030486.0,TERRESTRIAL,2023-02-12T14:01:55.853Z,49.48244667,-2.51227667,,
413973514,0.0,TERRESTRIAL,2023-02-12T14:00:35.000Z,29.83018333,116.34269333,,
413265180,0.0,DYNAMIC,2023-02-12T13:54:48.000Z,30.19723,121.73354333,,
412305576,,DYNAMIC,2023-02-12T13:43:38.000Z,35.10491167,119.28812667,,
338308963,,TERRESTRIAL,2023-02-12T14:02:33.428Z,47.68395,-122.405065,,
440301990,0.0,DYNAMIC,2023-02-12T13:47:31.000Z,37.65807667,126.234515,,
538008078,9131539.0,DYNAMIC,2023-02-12T14:01:55.000Z,36.535205,22.64894833,,
413840434,0.0,TERRESTRIAL,2023-02-12T14:02:30.000Z,28.59062667,115.81205333,,
100102668,,DYNAMIC,2023-02-12T13:58:10.000Z,31.067565,122.872945,,
368176430,0.0,TERRESTRIAL,2023-02-12T14:02:11.861Z,39.81714167,-75.39630833,,
413864699,0.0,TERRESTRIAL,2023-02-12T14:02:14.000Z,30.40477167,111.8974,,
211745030,0.0,TERRESTRIAL,2023-02-12T14:02:04.754Z,53.51749833,8.146725,,
311000255,9703837.0,TERRESTRIAL,2023-02-12T14:02:23.378Z,37.06878333,126.15871833,,
215602000,9668506.0,TERRESTRIAL,2023-02-12T14:02:03.000Z,41.09443,1.20633167,,
227692020,,TERRESTRIAL,2023-02-12T14:01:56.277Z,48.27955167,-4.58905,,
538070533,,TERRESTRIAL,2023-02-12T14:01:00.000Z,24.21723833,-110.30513333,,
440110200,0.0,DYNAMIC,2023-02-12T13:56:52.000Z,36.98149833,126.76727833,,
710005830,,DYNAMIC,2023-02-12T13:57:36.000Z,-22.90709667,-43.13710167,,
440013150,,DYNAMIC,2023-02-12T13:42:58.000Z,37.51791833,126.59935167,,
511100783,8325119.0,DYNAMIC,2023-02-12T14:00:39.000Z,16.53909667,54.825415,,
368194070,,TERRESTRIAL,2023-02-12T14:02:08.108Z,47.64287167,-122.341895,,
412413440,0.0,TERRESTRIAL,2023-02-12T14:02:27.000Z,29.98325,122.08574667,,
538003016,9490832.0,TERRESTRIAL,2023-02-12T14:02:15.000Z,36.91861667,36.01216667,,
413380350,9188609.0,DYNAMIC,2023-02-12T13:55:59.000Z,31.14198667,122.69247333,,
352986140,9905253.0,TERRESTRIAL,2023-02-12T14:02:22.000Z,29.87509667,-89.94121667,,
211243700,0.0,TERRESTRIAL,2023-02-12T14:02:19.000Z,44.10388167,28.65225833,,
316048068,,TERRESTRIAL,2023-02-12T14:02:00.880Z,50.03488333,-125.24400333,,
288820101,,DYNAMIC,2023-02-12T13:56:32.000Z,31.04776667,122.87303,,
244091000,8650813.0,DYNAMIC,2023-02-12T13:48:56.000Z,49.44522,-9.68481167,,
412443529,,TERRESTRIAL,2023-02-12T14:02:07.000Z,25.35697167,120.08894,,
229000859,0.0,TERRESTRIAL,2023-02-12T14:02:21.000Z,40.64205167,17.94297333,,
250006631,,TERRESTRIAL,2023-02-12T14:02:24.456Z,51.84932333,-8.29375167,,
999999869,,TERRESTRIAL,2023-02-12T14:02:24.000Z,30.76902333,108.41511333,,
412441937,,TERRESTRIAL,2023-02-12T14:02:04.000Z,36.86479,122.37830667,,
412442375,,DYNAMIC,2023-02-07T07:11:15.000Z,25.16882,119.1504,,
341986000,8117433.0,TERRESTRIAL,2023-02-12T14:01:43.470Z,25.946175,55.12456333,,
412435186,,DYNAMIC,2023-02-12T13:59:06.000Z,31.28978333,122.80689333,,
636014499,9432036.0,TERRESTRIAL,2023-02-12T14:02:29.000Z,29.57627,48.77867167,,
211188500,,TERRESTRIAL,2023-02-12T14:02:17.034Z,51.82727333,4.12859667,,
312992000,9496886.0,DYNAMIC,2023-02-12T13:52:15.000Z,37.49364333,126.62831167,,
677082300,9015981.0,DYNAMIC,2023-02-12T14:00:25.000Z,25.544545,55.067055,,
413970201,,TERRESTRIAL,2023-02-12T14:01:51.000Z,33.22801667,119.30555167,,
265291000,7922879.0,TERRESTRIAL,2023-02-12T14:02:14.968Z,57.26207333,16.47306,,
413443830,0.0,DYNAMIC,2023-02-12T13:50:55.000Z,30.29836333,121.86146667,,
261000420,,DYNAMIC,2023-02-12T13:57:06.000Z,41.43485333,2.24149667,,
244008000,9344409.0,TERRESTRIAL,2023-02-12T14:02:29.000Z,42.398985,-8.70109,,
413490240,0.0,TERRESTRIAL,2023-02-12T14:02:12.000Z,22.62903167,113.685455,,
338228732,,TERRESTRIAL,2023-02-12T14:02:09.000Z,27.510255,-82.57449167,,
413324980,0.0,DYNAMIC,2023-02-12T13:59:00.000Z,29.57493333,122.63991667,,
